review_id,review_text,gold_sentiment,llm_output
R001,A beautifully acted film with a simple story that becomes surprisingly emotional by the end.,positive,TODO: paste or generate LLM output here
R002,"The pacing is slow at first, but the performances and final scene make the movie memorable.",positive,TODO: paste or generate LLM output here
R003,I loved the chemistry between the leads and the soundtrack fits every scene perfectly.,positive,TODO: paste or generate LLM output here
R004,"The plot is predictable, yet the warm characters and sharp dialogue kept me engaged.",positive,TODO: paste or generate LLM output here
R005,"A clever script, strong direction, and an ending that feels earned rather than forced.",positive,TODO: paste or generate LLM output here
R006,"The visuals are stunning and the world feels alive, even when the story takes familiar turns.",positive,TODO: paste or generate LLM output here
R007,"This movie balances humor and drama very well, with several scenes that stayed with me.",positive,TODO: paste or generate LLM output here
R008,"The film is not perfect, but it has heart, energy, and a cast that clearly understands the material.",positive,TODO: paste or generate LLM output here
R009,A touching and thoughtful movie that rewards patience with a powerful emotional payoff.,positive,TODO: paste or generate LLM output here
R010,The director turns a familiar premise into something fresh through careful details and strong atmosphere.,positive,TODO: paste or generate LLM output here
R011,"The action scenes are exciting, the editing is clean, and the characters are more interesting than expected.",positive,TODO: paste or generate LLM output here
R012,"A quiet film, but the silence and small gestures say more than most loud dramas.",positive,TODO: paste or generate LLM output here
R013,"The movie has a few weak jokes, but the emotional core works extremely well.",positive,TODO: paste or generate LLM output here
R014,The lead actor carries the film with a natural performance that makes even ordinary scenes compelling.,positive,TODO: paste or generate LLM output here
R015,A smart and entertaining film with enough surprises to keep the audience invested.,positive,TODO: paste or generate LLM output here
R016,The cinematography is gorgeous and the music gives the story a strong sense of place.,positive,TODO: paste or generate LLM output here
R017,"Although the middle section drags, the film recovers with a satisfying final act.",positive,TODO: paste or generate LLM output here
R018,"The writing is witty, the cast is charming, and the movie never forgets its emotional stakes.",positive,TODO: paste or generate LLM output here
R019,A well-crafted drama that avoids cheap sentiment and lets the characters develop naturally.,positive,TODO: paste or generate LLM output here
R020,"The movie is familiar, but it is executed with confidence and genuine affection for its genre.",positive,TODO: paste or generate LLM output here
R021,"A delightful surprise with strong performances, memorable scenes, and a very satisfying conclusion.",positive,TODO: paste or generate LLM output here
R022,The film uses a small story to explore big emotions without becoming heavy-handed.,positive,TODO: paste or generate LLM output here
R023,"The dialogue feels natural, the pace is steady, and the final message is quietly powerful.",positive,TODO: paste or generate LLM output here
R024,A charming movie that makes up for its simple plot with sincere characters and lovely music.,positive,TODO: paste or generate LLM output here
R025,"I expected very little, but the movie surprised me with its humor, warmth, and thoughtful ending.",positive,TODO: paste or generate LLM output here
R026,"The film looks expensive, but the story is thin and the characters are hard to care about.",negative,TODO: paste or generate LLM output here
R027,"A dull movie with flat dialogue, weak pacing, and an ending that feels completely unearned.",negative,TODO: paste or generate LLM output here
R028,"The actors try their best, but the script gives them almost nothing interesting to do.",negative,TODO: paste or generate LLM output here
R029,The movie starts with promise and then slowly collapses into predictable twists and noisy scenes.,negative,TODO: paste or generate LLM output here
R030,"I wanted to enjoy it, but the plot is confusing, the jokes fall flat, and the runtime feels endless.",negative,TODO: paste or generate LLM output here
R031,Beautiful images cannot hide the lack of emotional depth or meaningful character development.,negative,TODO: paste or generate LLM output here
R032,The film repeats the same idea for two hours and never builds real tension.,negative,TODO: paste or generate LLM output here
R033,"The soundtrack is impressive, but almost every character decision feels forced.",negative,TODO: paste or generate LLM output here
R034,"A messy and unfocused movie that seems unsure whether it wants to be comedy, drama, or thriller.",negative,TODO: paste or generate LLM output here
R035,"The final act tries to be emotional, but it has not earned that reaction from the audience.",negative,TODO: paste or generate LLM output here
R036,The pacing is so uneven that several important scenes lose their impact.,negative,TODO: paste or generate LLM output here
R037,"There are a few clever moments, but most of the film feels lazy and predictable.",negative,TODO: paste or generate LLM output here
R038,The dialogue sounds artificial and the characters explain feelings instead of showing them.,negative,TODO: paste or generate LLM output here
R039,The movie relies on loud music and quick cuts instead of suspense or meaningful conflict.,negative,TODO: paste or generate LLM output here
R040,An overlong film with too many subplots and not enough reason to care about any of them.,negative,TODO: paste or generate LLM output here
R041,"The premise is interesting, but the execution is painfully generic.",negative,TODO: paste or generate LLM output here
R042,The jokes are repetitive and the emotional scenes feel copied from better films.,negative,TODO: paste or generate LLM output here
R043,"The cast has talent, yet the direction makes every scene feel stiff and lifeless.",negative,TODO: paste or generate LLM output here
R044,"The movie explains too much, trusts the audience too little, and still leaves major plot points unclear.",negative,TODO: paste or generate LLM output here
R045,A disappointing sequel that adds more noise but loses the charm of the original.,negative,TODO: paste or generate LLM output here
R046,"The visual effects are fine, but the film lacks personality and emotional weight.",negative,TODO: paste or generate LLM output here
R047,The story moves from one cliché to another without giving the viewer anything new.,negative,TODO: paste or generate LLM output here
R048,"I found the movie exhausting, not because it is complex, but because it is badly organized.",negative,TODO: paste or generate LLM output here
R049,"The ending tries to shock the audience, but it only makes the earlier story feel pointless.",negative,TODO: paste or generate LLM output here
R050,A technically polished film that fails to deliver believable characters or a convincing conflict.,negative,TODO: paste or generate LLM output here
